Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,26.150000,26.250000,26.059999,26.160000,26.160000,1851100
2018-08-10,26.129999,26.250000,25.920000,25.980000,25.980000,1856800
2018-08-13,26.020000,26.059999,25.820000,26.049999,26.049999,1937400
2018-08-14,26.049999,26.400000,26.010000,26.280001,26.280001,1848100
2018-08-15,26.230000,27.070000,26.230000,26.860001,26.860001,3086100
2018-08-16,26.770000,27.000000,26.570000,26.980000,26.980000,2821000
2018-08-17,27.030001,27.230000,27.020000,27.219999,27.219999,2597600
2018-08-20,27.299999,27.440001,27.030001,27.070000,27.070000,2377000
2018-08-21,27.049999,27.110001,26.850000,26.930000,26.930000,2137000
2018-08-22,26.959999,27.000000,26.680000,26.740000,26.740000,1627700
2018-08-23,26.799999,26.879999,26.690001,26.709999,26.709999,2446400
2018-08-24,26.629999,26.750000,26.480000,26.719999,26.719999,1082900
2018-08-27,26.719999,26.730000,26.420000,26.719999,26.719999,1604200
2018-08-28,26.650000,27.030001,26.559999,27.030001,27.030001,3087400
2018-08-29,27.080000,27.200001,27.040001,27.059999,27.059999,1978600
2018-08-30,27.129999,27.129999,26.900000,26.930000,26.930000,1713500
2018-08-31,26.969999,27.120001,26.860001,27.030001,27.030001,2162800
2018-09-04,26.940001,27.040001,26.510000,26.540001,26.540001,1974400
2018-09-05,26.469999,26.840000,26.280001,26.639999,26.639999,2296600
2018-09-06,26.709999,27.020000,26.700001,26.980000,26.980000,2407200
2018-09-07,26.750000,26.799999,26.400000,26.450001,26.450001,1672400
